GRC	ENG	Frequency
καὶ	and	3
νῆες	ships	2
δαινύμενοι	made our feast	1
αὐτοὶ	ourselves	1
ἑλόντες	unloaded	1
μῆλα	flock	1
δασσάμεθʼ	make division	1
ἠέλιον	sun	1
καταδύντα	went down	1
ἐς	until	1
ἦμαρ	day	1
πρόπαν	all	1
ἀφικόμεθʼ	we ran in	1
ἐπὶ	on	1
κρέα	mutton	1
ἡδύ	sweet	1
μέθυ	wine	1
ἠέλιος κατέδυ	sunset	1
κνέφας	dark	1
ἦλθε	gathering	1
ἐπὶ	in	1
κοιμήθημεν	went to sleep	1
ῥηγμῖνι	wash	1
θαλάσσης	of ripples	1
βῆμεν	waded in	1
θαλάσσης	beach	1
πρυμνήσια	mooring lines	1
ἦμος	When	1
Κρονίδῃ	Kronos	1
Κύκλωπος	Kyklops	1
ἀνάσσει	rules	1
ἐμπάζετο οὐκ	disdained	1
ἱρῶν	offering	1
ἑταῖροι	companions	1
ἐμοὶ	my	1
ἠριγένεια Ἠώς	Dawn	1
ῥοδοδάκτυλος	finger tips of rose	1
φάνη	touched	1
ῥηγμῖνι	sandy	1
ἐγὼν	I	1
ἐποτρύνας	roused	1
ἑτάροισιν	the men	1
ἐκέλευσα	gave orders	1
ἑταίρους	friends	1
ποτιδέγμενοι	waited	1
ἡμέας	our	1
ἐκέλσαμεν	beached	1
ψαμάθοισιν	sand	1
ἐν	in	1
ἐπὶ	above	1
ἀνά	off	1
λῦσαι	cast	1
μένον	drawn up	1
δόσαν	voted	1
δαιομένων	I slew	1
ἑταῖροι	my fighters	1
ἐμοὶ	me	1
ἀρνειὸν	ram	1
ἴσης	share alike	1
ἑταῖροι	friends	1
ὀδυρόμενοι	troubled	1
ἁθρόαι	all	1
ἔνθα	There	1
ἐπὶ	by	1
ἥατʼ	waiting	1
μηρίʼ	thighbones	1
ἔκαιον	burnt	1
ἦμος	after	1
μὲν	Now	1
ἀλλʼ	But	1
πᾶσιν	the world	1
ὃς	who	1
ἔξοχα	prize	1
τὸν δʼ	the	1
θινὶ	sea side	1
μήλων	of all	1
ἑξῆς	in line	1
ἀμβαίνειν	man	1
κληῖσι	rowlocks	1
καθῖζον	sit	1
ἐπὶ	beside	1
εἴσβαινον	filing in	1
ἐρετμοῖς	oars	1
τύπτον	dipped	1
ἅλα	sea	1
πολιὴν	grey	1
ἔνθεν	So	1
κελαινεφέι	beyond the stormcloud	1
προτέρω	out	1
πλέομεν	moved	1
ἀκαχήμενοι	sad	1
θανάτοιο	offing	1
ἐκ	in	1
ὀλέσαντες	not	1
ἄσμενοι	precious	1
ὅ	he	1
μερμήριξεν	had in store	1
ἀπολοίατο	destruction	1
Ζηνὶ	Zeus	1
